"row_id","bucket","snapnum","M","_count_*_"
2722,820126,82,126,125480
2723,820127,82,127,92266
2724,820128,82,128,67428
2725,820129,82,129,48803
2726,820130,82,130,34134
2727,820131,82,131,23748
2728,820132,82,132,16243
2729,820133,82,133,10722
2730,820134,82,134,6985
2731,820135,82,135,4375
2732,820136,82,136,2526
2733,820137,82,137,1496
2734,820138,82,138,777
2735,820139,82,139,430
2736,820140,82,140,221
2737,820141,82,141,90
2738,820142,82,142,33
2739,820143,82,143,13
5351,820144,82,144,2
5296,820145,82,145,2
2740,830094,83,94,296691
2741,830095,83,95,11981
2742,830096,83,96,394915
2743,830097,83,97,528361
2744,830098,83,98,655855
2745,830099,83,99,844428
2746,830100,83,100,2114228
2747,830101,83,101,3333991
2748,830102,83,102,8206202
2749,830103,83,103,12161822
2750,830104,83,104,20478573
2751,830105,83,105,14977800
2752,830106,83,106,14442490
2753,830107,83,107,11194737
2754,830108,83,108,10282070
2755,830109,83,109,8476063
2756,830110,83,110,6631559
2757,830111,83,111,5501179
2758,830112,83,112,4306643
2759,830113,83,113,3463153
2760,830114,83,114,2836760
2761,830115,83,115,2194483
2762,830116,83,116,1744984
2763,830117,83,117,1397515
2764,830118,83,118,1079789
2765,830119,83,119,852182
2766,830120,83,120,663642
2767,830121,83,121,513785
2768,830122,83,122,396957
2769,830123,83,123,305142
2770,830124,83,124,232626
2771,830125,83,125,175729
2772,830126,83,126,131887
2773,830127,83,127,97362
2774,830128,83,128,71607
2775,830129,83,129,52053
2776,830130,83,130,36920
2777,830131,83,131,25742
2778,830132,83,132,17619
2779,830133,83,133,11920
2780,830134,83,134,7795
2781,830135,83,135,4926
2782,830136,83,136,2971
2783,830137,83,137,1719
2784,830138,83,138,955
2785,830139,83,139,523
2786,830140,83,140,263
2787,830141,83,141,115
2788,830142,83,142,45
2789,830143,83,143,22
5178,830144,83,144,2
5179,830145,83,145,3
2790,840094,84,94,285015
2791,840095,84,95,11355
2792,840096,84,96,380310
2793,840097,84,97,510965
2794,840098,84,98,633599
2795,840099,84,99,820413
2796,840100,84,100,2061205
2797,840101,84,101,3265665
2798,840102,84,102,8111001
2799,840103,84,103,12128347
2800,840104,84,104,20543769
2801,840105,84,105,15042218
2802,840106,84,106,14502084
2803,840107,84,107,11247485
2804,840108,84,108,10337207
2805,840109,84,109,8527051
2806,840110,84,110,6679249
2807,840111,84,111,5548607
2808,840112,84,112,4347406
2809,840113,84,113,3501825
2810,840114,84,114,2870243
2811,840115,84,115,2226776
2812,840116,84,116,1772800
2813,840117,84,117,1423091
2814,840118,84,118,1101056
2815,840119,84,119,871055
2816,840120,84,120,679624
2817,840121,84,121,528126
2818,840122,84,122,409914
2819,840123,84,123,315301
2820,840124,84,124,241157
2821,840125,84,125,183256
2822,840126,84,126,137877
2823,840127,84,127,102588
2824,840128,84,128,75213
2825,840129,84,129,55656
2826,840130,84,130,39403
2827,840131,84,131,27783
2828,840132,84,132,19124
2829,840133,84,133,13101
2830,840134,84,134,8645
2831,840135,84,135,5530
2832,840136,84,136,3395
2833,840137,84,137,2005
2834,840138,84,138,1113
2835,840139,84,139,633
2836,840140,84,140,305
2837,840141,84,141,161
2838,840142,84,142,58
2839,840143,84,143,27
5326,840144,84,144,4
5297,840145,84,145,3
2840,850094,85,94,273702
2841,850095,85,95,10735
2842,850096,85,96,364594
2843,850097,85,97,491674
2844,850098,85,98,612343
2845,850099,85,99,790599
2846,850100,85,100,2001416
2847,850101,85,101,3191467
2848,850102,85,102,7985123
2849,850103,85,103,12064671
2850,850104,85,104,20593733
2851,850105,85,105,15092176
2852,850106,85,106,14569831
2853,850107,85,107,11297287
2854,850108,85,108,10393464
2855,850109,85,109,8576233
2856,850110,85,110,6725690
2857,850111,85,111,5593805
2858,850112,85,112,4390721
2859,850113,85,113,3539098
2860,850114,85,114,2906068
2861,850115,85,115,2258806
2862,850116,85,116,1800864
2863,850117,85,117,1447493
2864,850118,85,118,1122326
2865,850119,85,119,890287
2866,850120,85,120,696317
2867,850121,85,121,541556
2868,850122,85,122,422194
2869,850123,85,123,325313
2870,850124,85,124,250217
2871,850125,85,125,190063
2872,850126,85,126,144098
2873,850127,85,127,107975
2874,850128,85,128,79092
2875,850129,85,129,58939
2876,850130,85,130,42121
2877,850131,85,131,29934
2878,850132,85,132,20645
2879,850133,85,133,14133
2880,850134,85,134,9694
2881,850135,85,135,6127
2882,850136,85,136,3859
2883,850137,85,137,2320
2884,850138,85,138,1342
2885,850139,85,139,743
2886,850140,85,140,364
2887,850141,85,141,207
2888,850142,85,142,75
2889,850143,85,143,37
5235,850144,85,144,9
2890,850145,85,145,3
5180,850146,85,146,2
2891,860094,86,94,262302
2892,860095,86,95,10544
2893,860096,86,96,349707
2894,860097,86,97,472973
2895,860098,86,98,590154
2896,860099,86,99,764902
2897,860100,86,100,1941829
2898,860101,86,101,3112171
2899,860102,86,102,7867430
2900,860103,86,103,12001533
2901,860104,86,104,20639949
2902,860105,86,105,15151855
2903,860106,86,106,14615561
2904,860107,86,107,11341764
2905,860108,86,108,10433910
2906,860109,86,109,8619933
2907,860110,86,110,6766090
2908,860111,86,111,5630913
2909,860112,86,112,4423741
2910,860113,86,113,3570699
2911,860114,86,114,2937341
2912,860115,86,115,2285227
2913,860116,86,116,1824650
2914,860117,86,117,1470474
2915,860118,86,118,1141968
2916,860119,86,119,906638
2917,860120,86,120,711013
2918,860121,86,121,554928
2919,860122,86,122,433460
2920,860123,86,123,334803
2921,860124,86,124,258215
2922,860125,86,125,196939
2923,860126,86,126,150158
2924,860127,86,127,112552
2925,860128,86,128,83158
2926,860129,86,129,62189
2927,860130,86,130,44720
2928,860131,86,131,32132
2929,860132,86,132,22219
2930,860133,86,133,15481
2931,860134,86,134,10458
2932,860135,86,135,6852
2933,860136,86,136,4326
2934,860137,86,137,2671
2935,860138,86,138,1528
2936,860139,86,139,863
2937,860140,86,140,449
2938,860141,86,141,245
2939,860142,86,142,104
2940,860143,86,143,51
2941,860144,86,144,12
2942,860145,86,145,4
2943,860146,86,146,2
2944,870094,87,94,250900
2945,870095,87,95,9919
2946,870096,87,96,336844
2947,870097,87,97,454442
2948,870098,87,98,569813
2949,870099,87,99,738771
2950,870100,87,100,1882894
2951,870101,87,101,3037351
2952,870102,87,102,7732847
2953,870103,87,103,11924912
2954,870104,87,104,20679055
2955,870105,87,105,15195199
2956,870106,87,106,14663542
2957,870107,87,107,11378486
2958,870108,87,108,10469431
2959,870109,87,109,8657860
2960,870110,87,110,6802552
2961,870111,87,111,5665252
2962,870112,87,112,4457680
2963,870113,87,113,3600938
2964,870114,87,114,2967468
2965,870115,87,115,2310652
2966,870116,87,116,1849778
