"row_id","bucket","snapnum","M","_count_*_"
200,110142,11,142,5995
201,110143,11,143,3031
202,110144,11,144,1386
203,110145,11,145,628
204,110146,11,146,237
205,110147,11,147,79
206,110148,11,148,23
2703,110149,11,149,6
2704,110150,11,150,1
207,120117,12,117,17645396
208,120118,12,118,17361418
209,120119,12,119,14905988
210,120120,12,120,11941179
211,120121,12,121,9851745
212,120122,12,122,7687139
213,120123,12,123,6340893
214,120124,12,124,5061937
215,120125,12,125,3948130
216,120126,12,126,3085385
217,120127,12,127,2385740
218,120128,12,128,1840847
219,120129,12,129,1432668
220,120130,12,130,1079081
221,120131,12,131,809977
222,120132,12,132,611203
223,120133,12,133,445398
224,120134,12,134,324821
225,120135,12,135,230851
226,120136,12,136,159748
227,120137,12,137,107478
228,120138,12,138,70312
229,120139,12,139,45218
230,120140,12,140,27769
231,120141,12,141,16378
232,120142,12,142,9350
233,120143,12,143,4929
234,120144,12,144,2424
235,120145,12,145,1157
236,120146,12,146,489
237,120147,12,147,180
238,120148,12,148,63
239,120149,12,149,21
2752,120150,12,150,5
2753,120151,12,151,1
240,120152,12,152,1
241,130117,13,117,17624827
242,130118,13,118,17425097
243,130119,13,119,15021076
244,130120,13,120,12068913
245,130121,13,121,9972552
246,130122,13,122,7802961
247,130123,13,123,6442998
248,130124,13,124,5157773
249,130125,13,125,4030571
250,130126,13,126,3159793
251,130127,13,127,2450446
252,130128,13,128,1897469
253,130129,13,129,1481237
254,130130,13,130,1120769
255,130131,13,131,845922
256,130132,13,132,639010
257,130133,13,133,469639
258,130134,13,134,344646
259,130135,13,135,246745
260,130136,13,136,173446
261,130137,13,137,118209
262,130138,13,138,78982
263,130139,13,139,51120
264,130140,13,140,32228
265,130141,13,141,19173
266,130142,13,142,11099
267,130143,13,143,6075
268,130144,13,144,3055
269,130145,13,145,1498
270,130146,13,146,682
271,130147,13,147,219
272,130148,13,148,104
273,130149,13,149,29
274,130150,13,150,8
275,130151,13,151,2
2776,130153,13,153,1
276,140117,14,117,17598015
277,140118,14,118,17420520
278,140119,14,119,15043222
279,140120,14,120,12099120
280,140121,14,121,10007703
281,140122,14,122,7834856
282,140123,14,123,6481011
283,140124,14,124,5188618
284,140125,14,125,4060479
285,140126,14,126,3185257
286,140127,14,127,2474507
287,140128,14,128,1918058
288,140129,14,129,1499135
289,140130,14,130,1136772
290,140131,14,131,859228
291,140132,14,132,650918
292,140133,14,133,479502
293,140134,14,134,352677
294,140135,14,135,253231
295,140136,14,136,178815
296,140137,14,137,122970
297,140138,14,138,82545
298,140139,14,139,53639
299,140140,14,140,34097
300,140141,14,141,20508
301,140142,14,142,11976
302,140143,14,143,6565
303,140144,14,144,3343
304,140145,14,145,1650
305,140146,14,146,746
306,140147,14,147,270
307,140148,14,148,116
308,140149,14,149,36
2705,140150,14,150,11
2754,140151,14,151,2
2819,140153,14,153,1
309,150117,15,117,17616006
310,150118,15,118,17449639
311,150119,15,119,15074148
312,150120,15,120,12128895
313,150121,15,121,10037867
314,150122,15,122,7865538
315,150123,15,123,6513086
316,150124,15,124,5222885
317,150125,15,125,4089942
318,150126,15,126,3211748
319,150127,15,127,2497408
320,150128,15,128,1938129
321,150129,15,129,1518584
322,150130,15,130,1150988
323,150131,15,131,873806
324,150132,15,132,661816
325,150133,15,133,488554
326,150134,15,134,360771
327,150135,15,135,259195
328,150136,15,136,184647
329,150137,15,137,127248
330,150138,15,138,85804
331,150139,15,139,56310
332,150140,15,140,35831
333,150141,15,141,21816
334,150142,15,142,12749
335,150143,15,143,7096
336,150144,15,144,3628
337,150145,15,145,1839
338,150146,15,146,802
339,150147,15,147,310
340,150148,15,148,128
341,150149,15,149,45
2706,150150,15,150,13
2820,150151,15,151,2
2707,150153,15,153,1
342,160117,16,117,17667630
343,160118,16,118,17500019
344,160119,16,119,15112781
345,160120,16,120,12163916
346,160121,16,121,10077984
347,160122,16,122,7900018
348,160123,16,123,6549082
349,160124,16,124,5254024
350,160125,16,125,4118610
351,160126,16,126,3238790
352,160127,16,127,2520869
353,160128,16,128,1958397
354,160129,16,129,1536369
355,160130,16,130,1167336
356,160131,16,131,886418
357,160132,16,132,672490
358,160133,16,133,498251
359,160134,16,134,368891
360,160135,16,135,265838
